ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
1532552425.003807,2137,0,65033.0,8277,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532552570.999707,3354,0,25676.0,7635,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532554460.004073,3638,0,39870.0,7424,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532536751.001414,8868,0,48614.0,8247,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532572670.999996,3812,0,62683.0,2467,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532563637.005009,2804,0,19903.0,2320,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532536662.002961,8870,0,13746.0,9514,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532546021.005313,3922,0,33699.0,4184,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532548015.001179,9227,0,47101.0,6352,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532542592.003086,8397,0,11599.0,9802,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532581831.001163,3944,0,62828.0,2729,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532535558.00072,1983,0,27540.0,9313,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532584410.006551,6261,0,7779.0,6734,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532546208.002159,8509,0,2804.0,2329,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532574948.000656,7996,0,3639.0,9852,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532574497.002363,954,0,3943.0,843,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532532839.007086,2576,0,53724.0,5041,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532546178.005942,7104,0,62586.0,1506,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532537942.003214,4389,0,11279.0,9735,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532562873.004017,1151,0,17783.0,2900,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532554055.002969,1769,0,65019.0,2827,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532543669.000596,4411,0,64768.0,4632,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532560142.002478,7021,0,11733.0,8040,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532568440.004254,2476,0,18265.0,9894,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532589980.003237,1528,0,30104.0,419,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532576732.995556,9248,0,3987.0,3300,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532529586.999931,7553,0,21061.0,3602,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532556463.004669,5341,0,23151.0,5266,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532567954.000178,9737,0,23225.0,7415,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532580646.003101,1228,0,44053.0,8022,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532581702.004364,310,0,23427.0,1997,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532555203.007678,4089,0,35302.0,759,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532558699.005259,9258,0,25487.0,9034,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532581183.00573,4802,0,269.0,3916,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532566389.003086,8626,0,44763.0,2933,23.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532558618.00482,9531,0,44190.0,6357,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532575821.996806,3693,0,32620.0,7775,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
1532589132.999169,2538,0,26897.0,7023,81.0,0,2,0.0,2,1.0,40.0,0.0,0.0,1,0
